Distance (meters),Reading Number,RSSI,Calculated Distance,Status,Experiment Type
0.5,1,-37,0.22,Success,Clear
0.5,2,-37,0.22,Success,Clear
0.5,3,-36,0.2,Success,Clear
0.5,4,-37,0.22,Success,Clear
0.5,5,-37,0.22,Success,Clear
0.5,6,-36,0.2,Success,Clear
0.5,7,0,0,Failed,Clear
0.5,8,-36,0.2,Success,Clear
0.5,9,-37,0.22,Success,Clear
0.5,10,-37,0.22,Success,Clear
0.5,11,-37,0.22,Success,Clear
1.0,1,-48,0.79,Success,Clear
1.0,2,-48,0.79,Success,Clear
1.0,3,-47,0.71,Success,Clear
1.0,4,-48,0.79,Success,Clear
1.0,5,-50,1.0,Success,Clear
1.0,6,-50,1.0,Success,Clear
1.0,7,-50,1.0,Success,Clear
1.0,8,-50,1.0,Success,Clear
1.0,9,-50,1.0,Success,Clear
1.0,10,-49,0.89,Success,Clear
1.5,1,-50,1.0,Success,Clear
1.5,2,-52,1.26,Success,Clear
1.5,3,-51,1.12,Success,Clear
1.5,4,-56,2.0,Success,Clear
1.5,5,-51,1.12,Success,Clear
1.5,6,-52,1.26,Success,Clear
1.5,7,-52,1.26,Success,Clear
1.5,8,-52,1.26,Success,Clear
1.5,9,-55,1.78,Success,Clear
1.5,10,-49,0.89,Success,Clear
2.0,1,-56,2.0,Success,Clear
2.0,2,-56,2.0,Success,Clear
2.0,3,-57,2.24,Success,Clear
2.0,4,-58,2.51,Success,Clear
2.0,5,-57,2.24,Success,Clear
2.0,6,-57,2.24,Success,Clear
2.0,7,-57,2.24,Success,Clear
2.0,8,-57,2.24,Success,Clear
2.0,9,-57,2.24,Success,Clear
2.0,10,-58,2.51,Success,Clear
2.5,1,-66,6.31,Success,Clear
2.5,2,-66,6.31,Success,Clear
2.5,3,-67,7.08,Success,Clear
2.5,4,-68,7.94,Success,Clear
2.5,5,-66,6.31,Success,Clear
2.5,6,-66,6.31,Success,Clear
2.5,7,-59,2.82,Success,Clear
2.5,8,-59,2.82,Success,Clear
2.5,9,-59,2.82,Success,Clear
2.5,10,-59,2.82,Success,Clear
3.0,1,-65,5.62,Success,Clear
3.0,2,-67,7.08,Success,Clear
3.0,3,-67,7.08,Success,Clear
3.0,4,-66,6.31,Success,Clear
3.0,5,-66,6.31,Success,Clear
3.0,6,-64,5.01,Success,Clear
3.0,7,-67,7.08,Success,Clear
3.0,8,-66,6.31,Success,Clear
3.0,9,-67,7.08,Success,Clear
3.0,10,-67,7.08,Success,Clear
3.5,1,-59,2.82,Success,Clear
3.5,2,-60,3.16,Success,Clear
3.5,3,-58,2.51,Success,Clear
3.5,4,-60,3.16,Success,Clear
3.5,5,-58,2.51,Success,Clear
3.5,6,-61,3.55,Success,Clear
3.5,7,-61,3.55,Success,Clear
3.5,8,-61,3.55,Success,Clear
3.5,9,-61,3.55,Success,Clear
3.5,10,-61,3.55,Success,Clear
4.0,1,-60,3.16,Success,Clear
4.0,2,-61,3.55,Success,Clear
4.0,3,-61,3.55,Success,Clear
4.0,4,-61,3.55,Success,Clear
4.0,5,-61,3.55,Success,Clear
4.0,6,-61,3.55,Success,Clear
4.0,7,-63,4.47,Success,Clear
4.0,8,-64,5.01,Success,Clear
4.0,9,-63,4.47,Success,Clear
4.0,10,-63,4.47,Success,Clear
4.5,1,-67,7.08,Success,Clear
4.5,2,-66,6.31,Success,Clear
4.5,3,-65,5.62,Success,Clear
4.5,4,-66,6.31,Success,Clear
4.5,5,0,0,Failed,Clear
4.5,6,-66,6.31,Success,Clear
4.5,7,-66,6.31,Success,Clear
4.5,8,-67,7.08,Success,Clear
4.5,9,-66,6.31,Success,Clear
4.5,10,-66,6.31,Success,Clear
4.5,11,-66,6.31,Success,Clear
5.0,1,-78,25.12,Success,Clear
5.0,2,-71,11.22,Success,Clear
5.0,3,-69,8.91,Success,Clear
5.0,4,-73,14.13,Success,Clear
5.0,5,-71,11.22,Success,Clear
5.0,6,-73,14.13,Success,Clear
