Distance (meters),Reading Number,RSSI,Calculated Distance,Status,Experiment Type
0.5,1,-52,1.26,Success,Wall
0.5,2,-51,1.12,Success,Wall
0.5,3,-51,1.12,Success,Wall
0.5,4,-51,1.12,Success,Wall
0.5,5,-51,1.12,Success,Wall
0.5,6,-51,1.12,Success,Wall
0.5,7,-52,1.26,Success,Wall
0.5,8,-50,1.0,Success,Wall
0.5,9,-50,1.0,Success,Wall
0.5,10,-50,1.0,Success,Wall
1.0,1,-57,2.24,Success,Wall
1.0,2,-56,2.0,Success,Wall
1.0,3,-57,2.24,Success,Wall
1.0,4,-57,2.24,Success,Wall
1.0,5,-51,1.12,Success,Wall
1.0,6,-51,1.12,Success,Wall
1.0,7,-55,1.78,Success,Wall
1.0,8,-55,1.78,Success,Wall
1.0,9,-56,2.0,Success,Wall
1.0,10,-56,2.0,Success,Wall
1.5,1,-62,3.98,Success,Wall
1.5,2,-61,3.55,Success,Wall
1.5,3,0,0,Failed,Wall
1.5,4,-62,3.98,Success,Wall
1.5,5,-62,3.98,Success,Wall
1.5,6,-61,3.55,Success,Wall
1.5,7,-62,3.98,Success,Wall
1.5,8,-62,3.98,Success,Wall
1.5,9,-62,3.98,Success,Wall
1.5,10,-62,3.98,Success,Wall
1.5,11,-61,3.55,Success,Wall
2.0,1,-66,6.31,Success,Wall
2.0,2,-70,10.0,Success,Wall
2.0,3,-70,10.0,Success,Wall
2.0,4,-71,11.22,Success,Wall
2.0,5,-71,11.22,Success,Wall
2.0,6,-70,10.0,Success,Wall
2.0,7,-71,11.22,Success,Wall
2.0,8,-70,10.0,Success,Wall
2.0,9,-71,11.22,Success,Wall
2.0,10,-67,7.08,Success,Wall
2.5,1,-65,5.62,Success,Wall
2.5,2,-64,5.01,Success,Wall
2.5,3,-64,5.01,Success,Wall
2.5,4,-64,5.01,Success,Wall
2.5,5,-65,5.62,Success,Wall
2.5,6,-63,4.47,Success,Wall
2.5,7,-65,5.62,Success,Wall
2.5,8,-64,5.01,Success,Wall
2.5,9,-64,5.01,Success,Wall
2.5,10,-64,5.01,Success,Wall
3.0,1,-66,6.31,Success,Wall
3.0,2,-68,7.94,Success,Wall
3.0,3,-66,6.31,Success,Wall
3.0,4,-67,7.08,Success,Wall
3.0,5,-69,8.91,Success,Wall
